652,looks like our pressing issues as a nation are beyond just dumsor,joy,negative,,,,,,,,,,,,
717, anticipation of dumsor is worse than dumsor itself <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>,joy,negative,,,,,,,,,,,,
718, anticipation of dumsor is worse than dumsor itself <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>,joy,negative,,,,,,,,,,,,
719, anticipation of dumsor is worse than dumsor itself <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>,joy,negative,,,,,,,,,,,,
757,ghanaians prefer to die outside than to return to dumsor nation saynotoxenophobia,joy,negative,,,,,,,,,,,,
920, dumsor weak me i no dey get some pop but i dey see the the race heat waa,joy,negative,,,,,,,,,,,,
1041,deficit of ideas in solving problems like dumsor coupled with the mismanagement of the economy and a lack of ,joy,negative,,,,,,,,,,,,
1174," boss  be like we get too moch light new dumsor timetable go need
 a c c r a g h a n a …",joy,negative,,,,,,,,,,,,
1176," boss  be like we get too moch light new dumsor timetable go need
 a c c r a g h a n a …",joy,negative,,,,,,,,,,,,
1178," boss  be like we get too moch light new dumsor timetable go need
 a c c r a g h a n a …",joy,negative,,,,,,,,,,,,
